"ID_Substanz";"Name";"Parameter-ID";"CASNr - Gemisch";"Kommentar";"Chem_ID_OZ";"Micropol_ID";"AnalytikDB_ID";"PPDB_ID";"relevante Isomere";"InChIKey"
27;"Amitraz";"Amitraz";"33089-61-1";"";41;;107;30;;"QXAITBQSYVNQDR-UHFFFAOYSA-N"
28;"Asulam";"Asulam";"3337-71-1";"";46;56233745;156;1551;;"VGPYEHKOIGNJKV-UHFFFAOYSA-N"
30;"Atrazin";"Atrazin";"1912-24-9";"";50;40;288;43;;"MXWJVTOOROXGIU-UHFFFAOYSA-N"
31;"Azaconazol";"Azaconazol";"60207-31-0";"";;58658671;3503;45;;"AKNQMEBLVAMSNZ-UHFFFAOYSA-N"
32;"Azadirachtin A";"Azadirachtin ";"11141-17-6";;;;11203;46;;"FTNJWQUOZFUQQJ-GEPYADMXSA-N"
33;"Azadirachtin A+B";"Azadirachtin";;"Azadirachtin B: 95507-03-2, Azadirachtin A:  11141-17-6";;;11203;46;;"FTNJWQUOZFUQQJ-NDAWSKJSSA-N"
34;"Azoxystrobin";"Azoxystrobin";"131860-33-8";"";54;368;89;54;1;"WFDXOXNFNRHQEC-GHRIWEEISA-N"
38;"Beflubutamid";"Beflubutamid";"113614-08-7";"";55;;3504;58;;"FFQPZWRNXKPNPX-UHFFFAOYSA-N"
40;"Bentazon";"Bentazon";"25057-89-0";"";57;67;253;71;;"ZOMSMJKLGFBRBS-UHFFFAOYSA-N"
41;"Benthiavalicarb-isopropyl";"Benthiavalicarb-isopropyl";"177406-68-7";"Heisst eigentlich Benthiavalicarb-isopropyl und hat ein Isopropyl mehr als das Benthiavlicarb (ist anders Molekül). Footprint Datenbank ja, BLW Statistikdaten ja";59;58658686;3055;2172;;"USRKFGIXLGKMKU-ABAIWWIYSA-N"
42;"Benzoesäure";;"65-85-0";"";65;;;1475;;"WPYMKLBDIGXBTP-UHFFFAOYSA-N"
43;"Bifenox";"Bifenox";"42576-02-3";"";72;58658298;108;77;;"SUSRORUBZHMPCO-UHFFFAOYSA-N"
44;"Bifenthrin";"Bifenthrin";"82657-04-3";"";73;;3036;78;;"OXCDWLBJSLVWHB-LKRLXIKPSA-N"
45;"Boscalid";"Boscalid";"188425-85-6";"";80;369;2938;86;;"WYEMLYFITZORAB-UHFFFAOYSA-N"
46;"Brodifacoum";;"56073-10-0";"";;;10946;87;;"VEUZZDOCACZPRY-UHFFFAOYSA-N"
47;"Bromacil";"Bromacil";"314-40-9";"";81;56233751;266;88;;"CTSLUCNDVMMDHG-UHFFFAOYSA-N"
48;"Bromadiolon";"Bromadiolon";"28772-56-7";"";82;;3656;89;;"OWNRRUFOJXFKCU-UHFFFAOYSA-N"
49;"Brompropylat";"Brompropylat";"18181-80-1";"";;211;10758;95;;"FOANIXZHAMJWOI-UHFFFAOYSA-N"
50;"Bromoxynil";"Bromoxynil";"1689-84-5";"Footprint DB ja. BLW Statistikdaten steht nur Bromoxynil  potassium- ich neme deshalb an dass die anderen 3 Bromoxynil Typen (Octanoat, Heptanoat, Butyrat) nicht vorkommen!";85;56233752;24;96;;"UPMXNNIRAGDFEH-UHFFFAOYSA-N"
51;"Bupirimat";"Bupirimat";"41483-43-6";"";88;58658685;3508;99;;"DSKJPMWIHSOYEA-UHFFFAOYSA-N"
52;"Buprofezin";"Buprofezin";"69327-76-0";"Hier gibt es anscheinend 2 CAS Nr.! Im PSMV wird 953030-84-7 verwendet";89;58658684;3509;100;;"PRLVTUNWOQKEAI-UHFFFAOYSA-N"
53;"Butafenacil";"Butafenacil";"134605-64-4";"";;;3510;1163;;"JEDYYFXHPAIBGR-UHFFFAOYSA-N"
54;"Butralin";"Butralin";"33629-47-9";"";;;3511;104;;"SPNQRCTZKIBOAX-UHFFFAOYSA-N"
55;"Calciumcyanamid Kalkstickstoff";;"156-62-7";"nicht in Anhang1";;;;2720;;"MYFXBBAEXORJNB-UHFFFAOYSA-N"
56;"Calciumphosphid";;"1305-99-3";"";;;;1071;;"HMJZRBDFJAQGEY-UHFFFAOYSA-N"
57;"Captan";"Captan";"133-06-2";"";93;213;3039;114;;"LDVVMCZRFWMZSG-UHFFFAOYSA-N"
58;"Carbendazim";"Carbendazim";"10605-21-7";"";95;214;278;116;;"TWFZGCMQGLPBSX-UHFFFAOYSA-N"
59;"Carbetamid";"Carbetamid";"16118-49-3";"";96;56233753;136;117;;"AMRQXHFXNZFDCH-VIFPVBQESA-N"
60;"Carbofuran";"Carbofuran";"1563-66-2";"";97;60;3040;118;;"DUEPRVBVGDRKAG-UHFFFAOYSA-N"
61;"Carbosulfan";;"55285-14-8";"";99;;11214;121;;"JLQUFIHWVLZVTJ-UHFFFAOYSA-N"
62;"Carfentrazon-ethyl";"Carfentrazon-ethyl";"128639-02-1";"";100;58658542;3543;123;;"MLKCGVHIFJBRCD-UHFFFAOYSA-N"
63;"Chlorbufam";;"1967-16-4";"";;;3513;133;;"ULBXWWGWDPVHAO-UHFFFAOYSA-N"
64;"Chlorfenvinphos";"Chlorfenvinphos";"470-90-6";"";104;56233871;3041;138;;"FSAVDKDHPDSCTO-WQLSENKSSA-N"
65;"Chloridazon";"Chloridazon";"1698-60-8";"";108;48;88;141;;"WYKYKTKDBLFHCY-UHFFFAOYSA-N"
66;"Chlormequat";;"7003-89-6";"";109;;11195;143;;"UHZZMRAGKVHANO-UHFFFAOYSA-M"
68;"Chlorothalonil";"Chlorothalonil";"1897-45-6";"";110;216;110;150;;"CRQQGFGUEAVUIL-UHFFFAOYSA-N"
69;"Chlortoluron";"Chlortoluron";"15545-48-9";"";111;51;273;151;;"JXCGFZXSOMJFOA-UHFFFAOYSA-N"
70;"Chlorpropham";"Chlorpropham";"101-21-3";"";113;;3514;153;;"CWJSHJJYOPWUGX-UHFFFAOYSA-N"
71;"Chlorpyrifos";"Chlorpyrifos";"2921-88-2";"";114;217;2950;154;;"SBPBAQFWLVIOKP-UHFFFAOYSA-N"
72;"Chlorpyrifos-methyl";"Chlorpyrifos-methyl";"5598-13-0";"";115;56233873;2951;155;;"HRBKVYFZANMGRE-UHFFFAOYSA-N"
73;"Chlorthal";;"2136-79-0";"";;;3043;1717;;"KZCBXHSWMMIEQU-UHFFFAOYSA-N"
74;"Cholinchlorid";;"67-48-1";"";;;;161;;"SGMZJAMFUVOLNK-UHFFFAOYSA-M"
75;"Cinidon-ethyl";"Cinidon-ethyl";"142891-20-1";"";;58658683;3544;162;;"NNKKTZOEKDFTBU-YBEGLDIGSA-N"
76;"Clethodim";"Clethodim";"99129-21-2";"";126;;3515;164;;"INNPZTGYZSAJFN-ZTVUPKSFSA-N"
77;"Clodinafop-propargyl";"Clodinafop-propargyl";"105512-06-9";"";128;58658575;3545;165;;"JBDHZKLJNAIJNC-LLVKDONJSA-N"
78;"Clofentezin";"Clofentezin";"74115-24-5";"";129;58658578;3044;167;;"UXADOQPNKNTIHB-UHFFFAOYSA-N"
79;"Clomazon";"Clomazon";"81777-89-1";"";130;370;139;168;;"KIEDNEWSYUYDSN-UHFFFAOYSA-N"
80;"Clopyralid";"Clopyralid";"1702-17-6";"";131;58658626;3516;169;;"HUBANNPOLNYSAD-UHFFFAOYSA-N"
81;"Cloquintocet-mexyl";"Cloquintocet-mexyl";"99607-70-2";"";;;3812;170;;"COYBRKAVBMYYSF-UHFFFAOYSA-N"
82;"Clothianidin";"Clothianidin";"210880-92-5";"";132;;2933;171;;"PGOOBECODWQEAB-UHFFFAOYSA-N"
84;"Cyanamid";;"420-04-2";"";;;;184;;"XZMCDFZZKTWFGF-UHFFFAOYSA-N"
85;"Cyanazin";"Cyanazin";"21725-46-2";"";;184;2759;185;;"MZZBPDKVEFVLFF-UHFFFAOYSA-N"
86;"Cyazofamid";"Cyazofamid";"120116-88-3";"";136;;3546;186;;"YXKMMRDKEKCERS-UHFFFAOYSA-N"
87;"Cycloxydim";"Cycloxydim";"101205-02-1";"";137;58658669;3045;189;;"HAHCNFVGRVWFIP-UHFFFAOYSA-N"
88;"Cycluron";"Cycluron";"2163-69-1";"";;;3189;190;;"DQZCVNGCTZLGAQ-UHFFFAOYSA-N"
89;"Cyhexatin";;"13121-70-5";"";140;;11223;195;;"WCMMILVIRZAPLE-UHFFFAOYSA-M"
90;"Cymoxanil";"Cymoxanil";"57966-95-7";"";141;56233757;112;196;;"XERJKGMBORTKEO-VZUCSPMQSA-N"
91;"Cypermethrin";"Cypermethrin";"52315-07-8";"";531;185;4193;197;1;"KAATUXNTWXVJKI-UHFFFAOYSA-N"
93;"Cyproconazol";"Cyproconazol";"94361-06-5";"Gemisch ist berücksichtigt für EQS Herleitung";143;218;86;198;1;"UFNOUKDBUJZYDE-UHFFFAOYSA-N"
94;"Cyprodinil";"Cyprodinil";"121552-61-2";"";144;371;148;199;;"HAORKNGNJCEJBX-UHFFFAOYSA-N"
95;"Daminozid";;"1596-84-5";"";;;4097;202;;"NOQGZXFMHARMLW-UHFFFAOYSA-N"
96;"Dazomet";;"533-74-4";"";146;;153;203;;"QAYICIQNSGETAS-UHFFFAOYSA-N"
97;"Carvon";;"2244-16-8";"";;;;3123;1;"ULDHMXUKGWMISQ-SECBINFHSA-N"
98;"Deltamethrin";"Deltamethrin";"52918-63-5";"";148;58658627;3212;205;;"OWZREIFADZCYQD-NSHGMRRFSA-N"
99;"Desmedipham";"Desmedipham";"13684-56-5";"";149;56233759;144;207;;"WZJZMXBKUWKXTQ-UHFFFAOYSA-N"
101;"Diafenthiuron";"Diafenthiuron";"80060-09-9";"";;58658579;3547;210;;"WOWBFOBYOAGEEA-UHFFFAOYSA-N"
102;"Diazinon";"Diazinon";"333-41-5";"";153;43;293;212;;"FHIVAFMUCKRCQO-UHFFFAOYSA-N"
103;"Dicamba";"Dicamba";"1918-00-9";"";155;56233922;275;213;;"IWEDIXLBFLAXBO-UHFFFAOYSA-N"
104;"Dichlobenil";"Dichlobenil";"1194-65-6";"";156;361;84;214;;"YOYAIZYFCNQIRF-UHFFFAOYSA-N"
105;"Dichlorvos";"Dichlorvos";"62-73-7";"";160;68;3047;220;;"OEBRKCOSUFCWJD-UHFFFAOYSA-N"
106;"Diethofencarb";"Diethofencarb";"87130-20-9";"";166;;3517;228;;"LNJNFVJKDJYTEU-UHFFFAOYSA-N"
107;"Difenoconazol";"Difenoconazol";"119446-68-3";"";169;373;2934;230;;"BQYJATMQXGBDHF-UHFFFAOYSA-N"
108;"Diflubenzuron";"Diflubenzuron";"35367-38-5";"";170;58658557;3518;234;;"QQQYTWIFVNKMRW-UHFFFAOYSA-N"
109;"Diflufenican";"Diflufenican";"83164-33-4";"";171;56233762;116;235;;"WYEHFWKAOXOVJD-UHFFFAOYSA-N"
110;"Dimefuron";"Dimefuron";"34205-21-5";"";173;50;3166;237;;"DHWRNDJOGMTCPB-UHFFFAOYSA-N"
111;"Dimethachlor";"Dimethachlor";"50563-36-5";"";174;375;707;239;;"SCCDDNKJYDZXMM-UHFFFAOYSA-N"
112;"Dimethenamid";"Dimethenamid";"87674-68-8";"Cas Nr. für Isomer Gemisch Substanz_ID 113 steht für Dimethenamid-P";509;56233765;254;240;1;"JLYFCTQDENRSOL-UHFFFAOYSA-N"
114;"Dimethoat";"Dimethoat";"60-51-5";"";176;187;2761;244;;"MCWXGJITAZMZEV-UHFFFAOYSA-N"
115;"Dimethomorph";"Dimethomorph";"110488-70-5";"";177;376;2944;245;;"QNBTYORWCCMPQP-JXAWBTAJSA-N"
116;"Diquat";;"2764-72-9";"";181;;;1541;;"SYJFEGQWDCRVNX-UHFFFAOYSA-N"
117;"Dithianon";;"3347-22-6";"";182;;4091;258;;"PYZSVQVRHDXQSL-UHFFFAOYSA-N"
118;"Diuron";"Diuron";"330-54-1";"";183;69;292;260;;"XMTQQYYKAHVGBJ-UHFFFAOYSA-N"
119;"Dodin";;"2439-10-3";"";184;;;263;;"YIKWKLYQRFRGPM-UHFFFAOYSA-N"
120;"E7Z9-12 Ac";;"55774-32-8";"";;;;2649;;"LLRZUAWETKPZJO-DEQVHDEQSA-N"
121;"E8E10-12 OH";;"33956-49-9";"";;;;1022;;"CSWBSLXBXRFNST-MQQKCMAXSA-N"
122;"Eisen-III-Phosphat";;"10045-86-0";"";;;;1478;;"WBJZTOZJJYAKHQ-UHFFFAOYSA-K"
123;"Eisen-II-Sulfat";;"13463-43-9";"";;;;;;
124;"Endosulfan";"beta-Endosulfan";"115-29-7";"";188;120;3048;264;1;"RDYMFSUJUZBWLH-UHFFFAOYSA-N"
125;"Epoxiconazol";"Epoxiconazol";"133855-98-8";"EQS basiert auf Gemsich";190;56233770;95;267;1;"ZMYFCFLJBGAQRS-DLBZAZTESA-N"
126;"Ethephon";;"16672-87-0";"";195;;3482;274;;"UDPGUMQDCGORJQ-UHFFFAOYSA-N"
127;"Ethofumesat";"Ethofumesat";"26225-79-6";"EQS basiert auf Gemisch";196;52;117;278;;"IRCMYGHHKLLGHV-UHFFFAOYSA-N"
128;"Etofenprox";"Etofenprox";"80844-07-1";"";197;;3213;283;;"YREQHYQNNWYQCJ-UHFFFAOYSA-N"
129;"Etoxazol";"Etoxazol";"153233-91-1";"";198;;4092;284;;"IXSZQYVWNJNRAL-UHFFFAOYSA-N"
130;"Famoxadon";"Famoxadon";"131807-57-3";"";199;;3049;287;;"PCCSBWNGDMYFCW-UHFFFAOYSA-N"
131;"Fenamidon";"Fenamidon";"161326-34-7";"";200;56233879;3056;289;;"LMVPQMGRYSRMIW-KRWDZBQOSA-N"
132;"Fenazaquin";"Fenazaquin";"120928-09-8";"";;;3314;292;;"DMYHGDXADUDKCQ-UHFFFAOYSA-N"
133;"Fenbuconazol";"Fenbuconazol";"114369-43-6";"";;;3520;293;;"RQDJADAKIFFEKQ-UHFFFAOYSA-N"
134;"Fenhexamid";"Fenhexamid";"126833-17-8";"";201;379;3057;298;;"VDLGAVXLJYLFDH-UHFFFAOYSA-N"
135;"Fenoxapropethyl";"Fenoxaprop-ethyl";"71283-80-2";"";526;;10893;303;;"PQKBPHSEKWERTG-LLVKDONJSA-N"
137;"Fenoxycarb";"Fenoxycarb";"79127-80-3";"Im PSMV wird eine andere CAS Nr verwendet, 72490-01-8";204;58658556;2940;304;;"HJUFTIJOISQSKQ-UHFFFAOYSA-N"
138;"Fenpropidin";"Fenpropidin";"67306-00-7";"";205;380;2958;307;;"MGNFYQILYYYUBS-UHFFFAOYSA-N"
139;"Fenpropimorph";"Fenpropimorph";"67564-91-4";"";206;228;146;308;;"RYAUSSKQMZRMAI-UHFFFAOYSA-N"
140;"Fenpyroximat";"Fenpyroximat";"134098-61-6";"Im PSMV wird eine andere CAS Nr verwendet, 111812-58-9";208;;3522;309;;"YYJNOYZRYGDPNH-MFKUBSTISA-N"
143;"Fipronil";"Fipronil";"120068-37-3";"";211;382;2666;316;;"ZOCSXAVNDGMNBV-UHFFFAOYSA-N"
144;"Flazasulfuron";"Flazasulfuron";"104040-78-0";"";213;58658327;4093;319;;"HWATZEJQIXKWQS-UHFFFAOYSA-N"
145;"Flonicamid";"Flonicamid";"158062-67-0";"";214;58658648;2943;321;;"RLQJEEJISHYWON-UHFFFAOYSA-N"
146;"Florasulam";"Florasulam";"145701-23-1";"";215;;3548;322;;"QZXATCCPQKOEIH-UHFFFAOYSA-N"
147;"Fluazifop-butyl";"Fluazifop-butyl";"69806-50-4";;217;384;3093;324;1;"VAIZTNZGPYBOGF-UHFFFAOYSA-N"
148;"Fluazinam";"Fluazinam";"79622-59-6";"";220;383;119;325;;"UZCGKGPEKUCDTF-UHFFFAOYSA-N"
149;"Fludioxonil";"Fludioxonil";"131341-86-1";"";221;386;162;330;;"MUJOIMFVNIBMKC-UHFFFAOYSA-N"
150;"Flufenacet";"Flufenacet";"142459-58-3";"";222;56233775;709;331;;"IANUJLZYFUDJIH-UHFFFAOYSA-N"
151;"Flumioxazin";"Flumioxazin";"103361-09-7";"";223;58658551;3167;335;;"FOUWCSDKDDHKQP-UHFFFAOYSA-N"
153;"Fluoxastrobin";"Fluoxastrobin";"361377-29-9";"";228;58658682;3058;340;;"UFEODZBUAFNAEU-NLRVBDNBSA-N"
155;"Fluquinconazol";"Fluquinconazol";"136426-54-5";"";231;;3523;342;;"IJJVMEJXYNJXOJ-UHFFFAOYSA-N"
156;"Flurenolcarbonsäure";;"467-69-6";"nicht in Anhang1";;;3094;344;;"GXAMYUGOODKVRM-UHFFFAOYSA-N"
157;"Flurochloridon";"Flurochloridon";"61213-25-0";"";232;;3549;346;;"OQZCSNDVOWYALR-UHFFFAOYSA-N"
158;"Fluroxypyr";"Fluroxypyr";"69377-81-7";"Footprint DB ja, BLW Statistikdaten ja";236;388;134;347;;"MEFQWPUMEMWTJP-UHFFFAOYSA-N"
159;"Fluroxypyr-meptyl";"Fluroxypyr-meptyl";"81406-37-3";"Fluroxypyr mit Meptylkette, in der BLW Anwendungmengenliste als Fluoroxpyr als Ester deklariert.  Footprint DB ja, BLW Statsitkdaten ja";235;58658543;10895;1120;;"OLZQTUCTGLHFTQ-UHFFFAOYSA-N"
160;"Fluroxypyr-Butoxy-1-Methylethyl-Ester";;"154486-27-8";"Fluroxypyr mit weiteren Cs und Os. Ist in der BLW Statistik aber nicht im Anhang 1 und auch nicht in der Footprintdatenbank!";;;;;;
162;"Flusilazol";"Flusilazol";"85509-19-9";"";238;56233779;97;350;;"FQKUGOMFVDPBIZ-UHFFFAOYSA-N"
163;"Folpet";"Folpet";"133-07-3";"";241;229;3095;354;;"HKIOYBQGHSTUDB-UHFFFAOYSA-N"
164;"Foramsulfuron";"Foramsulfuron";"173159-57-4";"";242;389;2778;357;;"PXDNXJSDGQBLKS-UHFFFAOYSA-N"
165;"Fosetyl";"Fosetyl";"15845-66-6";"Footprint DB ja, BLW Statistikdaten ja (aber zusammen mit  Propamocarb), , Al-Fosetyl hat casnr: 39148-24-8 und PPDB_ID 363";243;;10660;1548;;"VUERQRKTYBIULR-UHFFFAOYSA-N"
166;"Gibberellinsäure A3";;"77-06-5";"";;;;371;;"IXORZMNAPKEEDV-OBDJNFEBSA-N"
167;"Glufosinat";"Glufosinat";"51276-47-2";"";246;;3466;1540;;"IAJOBQBIJHVGMQ-UHFFFAOYSA-N"
168;"Glyphosat";"Glyphosat";"1071-83-6";"";247;336;3465;373;;"XDDAORKBJWWYJS-UHFFFAOYSA-N"
169;"Haloxyfop-(R)-Methylester";"Haloxyfop-methyl";"72619-32-0";"";514;;10892;1068;;"MFSWTRQUCLNFOM-SECBINFHSA-N"
170;"Heptamethyltrisiloxane modifiziert";;"1873-88-7";"";;;;;;
171;"Hexaflumuron";"Hexaflumuron";"86479-06-3";"";256;391;3526;383;;"RGNPBRKPHBKNKX-UHFFFAOYSA-N"
172;"Hexythiazox";"Hexythiazox";"78587-05-0";"";258;58658722;3527;385;;"XGWIJUOSCAQSSV-XHDPSFHLSA-N"
174;"Hymexazol";;"10004-44-1";"";;;3486;388;;"KGVPNLBXJKTABS-UHFFFAOYSA-N"
175;"Imazalil";"Imazalil";"35554-44-0";"73790-28-0 (technisch rein)";261;58658681;3528;390;;"PZBPKYOVPCNPJY-UHFFFAOYSA-N"
176;"Imazamox";"Imazamox";"114311-32-9";"";262;;2939;392;;"NUPJIGQFXCQJBK-UHFFFAOYSA-N"
177;"Imidacloprid";"Imidacloprid";"138261-41-3";"";263;58658340;2709;397;;"YWTYJOPNNQFBPC-UHFFFAOYSA-N"
178;"Indoxacarb";"Indoxacarb";"173584-44-6";"S-isomer, wird meist in dieser Form gebraucht. CasNR für R-Isomer  144171-61-9";266;393;3529;399;;"VBCVPMMZEGZULK-NRFANRHFSA-N"
179;"Iodosulfuron";;;"keine Cas-Nr für Iodosulfuron gefunden.";267;392;;1554;;"MBFHUWCOCCICOK-UHFFFAOYSA-N"
180;"Iodosulfuron-methyl";"Iodosulfuron-methyl";"185119-76-0";"Cas Nr.  Idosulfuron-methyl-Natrium: 144550-36-7";268;;3487;401;;"VWGAYSCWLXQJBQ-UHFFFAOYSA-N"
181;"Ioxynil";"Ioxynil";"1689-83-4";"Ioxynil-sodium in den ZAAUI Daten";271;231;87;402;;"NRXQIUSYPAHGNM-UHFFFAOYSA-N"
182;"Iprodion";"Iprodion";"36734-19-7";"";274;56233881;3060;403;;"ONUFESLQCSAYKA-UHFFFAOYSA-N"
183;"Iprovalicarb";"Iprovalicarb";"140923-17-7";"EQS Gemisch berücksichtigt";275;58658545;2936;404;1;"NWUWYYSKZYIQAE-WMCAAGNKSA-N"
184;"Ipsdienol";;"35628-00-3";"";;;;;;
185;"Isoproturon";"Isoproturon";"34123-59-6";"";279;46;286;409;;"PUIYMUZLKQOUOZ-UHFFFAOYSA-N"
186;"Isoxadifen-ethyl";"Isoxadifen-ethyl";"163520-33-0";"";;;3168;1576;;"MWKVXOJATACCCH-UHFFFAOYSA-N"
188;"Kalium-Bicarbonat";;"298-14-6";"";281;;;1624;;"TYJJADVDDVDEDZ-UHFFFAOYSA-M"
189;"Kaliumnitrat";;"7757-79-1";"";;;10429;;;
190;"Kaolin";;"1332-58-7";"";;;;2410;;"NLYAJNPCOHFWQQ-UHFFFAOYSA-N"
193;"Kresoxim-methyl";"Kresoxim-methyl";"143390-89-0";"";287;56233790;154;414;;"ZOTBXTZVPHCKPN-HTXNQAPBSA-N"
195;"Kupfer";"Cu-tot";;"Keine CAS möglich; Bafu hat CasNR: 7440-50-8 für Cu Element";288;24;;;;
200;"Kupferoctanoat";;"20543-04-8";"";;;;;;
204;"Cyhalothrin";"lambda-Cyhalothrin";"68085-85-8";"";513;;4242;194;1;"ZXQYGBMAQZUVMI-UNOMPAQXSA-N"
205;"Laminarin";;"9008-22-4";"";291;;;416;;"DBTMGCOVALSLOR-VPNXCSTESA-N"
206;"Lecithin";;"8002-43-5";"";;;;3310;;
207;"Lenacil";"Lenacil";"2164-08-1";"";294;394;2949;417;;"ZTMKADLOSYKWCA-UHFFFAOYSA-N"
208;"Limonen";;"138-86-3";"Im PSMV Verzeichnis unter der Cas Nr. 5989-27-5 --> (D)-(+)-Limonen";;;;418;;"XMGQYMWWDOXHJM-JTQLQIEISA-N"
209;"Linuron";"Linuron";"330-55-2";"";296;189;160;419;;"XKJMBINCVNINCA-UHFFFAOYSA-N"
210;"Lufenuron";"Lufenuron";"103055-07-8";"";297;395;3303;420;;"PWPJGUXAGUPAHP-UHFFFAOYSA-N"
212;"Mancozeb";"Mancozeb";"8018-01-7";"Früher  8065-67-6";299;232;;424;;"CHNQZRKUZPNOOH-UHFFFAOYSA-J"
213;"Mandipropamid";"Mandipropamid";"374726-62-2";"";300;58658584;3061;425;;"KWLVWJPJKJMCSH-UHFFFAOYSA-N"
214;"Maneb";;"12427-38-2";"";301;233;;426;;"VGMMANJYQVBVPU-UHFFFAOYSA-M"
215;"MCPA";"MCPA";"94-74-6";"";304;234;261;427;;"WHKUVVPPKQRRBV-UHFFFAOYSA-N"
216;"MCPB";"MCPB";"94-81-5";"";305;235;2710;428;;"LLWADFLAOKUBDR-UHFFFAOYSA-N"
217;"Mecoprop";"Mecoprop";"93-65-2";"EQS basiert auf Mecorpop R";307;236;308;430;1;"WNTGYJSOUMFZEP-UHFFFAOYSA-N"
219;"Mefenpyr-Diethyl";"Mefenpyr-diethyl";"135590-91-9";"";309;58658619;3169;433;;"OPGCOAPTHCZZIW-UHFFFAOYSA-N"
220;"Mepanipyrim";"Mepanipyrim";"110235-47-7";"";310;396;3062;435;;"CIFWZNRJIBNXRE-UHFFFAOYSA-N"
221;"Mepiquat";;"15302-91-7";"Molekül ohne Chlorid, Footprint DB hat mehr Infos für Mepiquatchlorid, deshalb diese FPD_ID übernommen und nicht ID1539 für Mepiquat. mepiquatChlorid CasNR: 24307-26-4, BLW Statistikdaten nein";311;;;437;;"NNCAWEWCFVZOGF-UHFFFAOYSA-N"
222;"Mepronil";"Mepronil";"55814-41-0";"";;;3530;438;;"BCTQJXQXJVLSIG-UHFFFAOYSA-N"
223;"Mesosulfuron";;"400852-66-6";"";;;4221;883;;"MAYMYMXYWIVVOK-UHFFFAOYSA-N"
224;"Mesosulfuron-methyl";"Mesosulfuron-methyl";"208465-21-8";"";313;;3170;441;;"NIFKBBMCXCMCAO-UHFFFAOYSA-N"
225;"Mesotrion";"Mesotrion";"104206-82-8";"";314;56233793;258;442;;"KPUREKXXPHOJQT-UHFFFAOYSA-N"
226;"Metalaxyl";"Metalaxyl";"57837-19-1";"EQS basiert auf Gemisch und Isomer-M";316;49;135;444;1;"ZQEIXNIJLIKNTD-UHFFFAOYSA-N"
227;"Metaldehyd";"Metaldehyd";"108-62-3";"";317;56233882;3800;446;;"GKKDCARASOJPNG-UHFFFAOYSA-N"
